betroffene_anlage,matched_id,id_source,method,confidence,reasoning,matched_name,lat,lon
OWP Borkum Riffgrund 3 Test,51682,index,llm,medium,Test phase of Borkum Riffgrund 3 offshore wind park matches the general Borkum Riffgrund entry.,Borkum Riffgrund,53.99370087557604,6.402609059907834
Heizkraftwerk Altbach/Deizisau GT A,27867,index,llm,high,"GT A indicates the natural gas turbine unit at Altbach/Deizisau, matching the 248MW gas entry.",Altbach Deizisau,48.71778225,9.37267225
Hohenwarte 2 (Standort),96,index,llm,medium,No separate Hohenwarte 2 entry exists; the pumped storage complex Psw Hohenwarte Pss likely covers both units.,Psw Hohenwarte Pss,50.602,11.474
Silz 2 (TIWAG),OPSD-BNA0906,index,llm,medium,"KW Silz is the only hydro plant at Silz, matching despite operator TIWAG not listed.",KW Silz,47.269606,10.967829
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,110,index,llm,low,"Wehr is part of the Schluchseewerke pumped storage group, closest plausible match despite name mismatch for Häusern/Witznau.",Wehr Ms,47.652259,7.925798
Audorf,1524,index,llm,high,Direct name match for Gasturbinenkraftwerk Audorf.,Gasturbinenkraftwerk Audorf,54.29068,9.72286
Niederrad 1,3253,index,llm,high,Wd Ndr (HKW Niederrad) directly matches the Niederrad plant name.,Wd Ndr,50.086,8.628
50H PV Bartow,,,llm,none,No candidate corresponds to a solar plant at Bartow.,,,
Tanzmühle,1996,index,llm,high,Direct name match for Tanzmuhle hydro plant.,Tanzmuhle,49.552216,12.281256
ReserveKW Plattling,1146,index,llm,high,Direct name match for Kraftwerk Plattling.,Plattling,48.800832,12.868396
OWP Borkum Riffgrund 3,51682,index,llm,high,Borkum Riffgrund entry matches the offshore wind park name and location directly.,Borkum Riffgrund,53.99370087557604,6.402609059907834
Reservekraftwerk Heilbronn Block 7,318,index,llm,high,Heilbronn hard coal plant matches the block designation and location.,Heilbronn,49.17505666666667,9.207873333333334
